settings_id,settings_name,settings_value
1,gallarific_version,2.0
2,gallarific_theme,black
3,gallarific_gallery_name,Gallarific
4,gallarific_date_format,m/d/Y
5,gallarific_comment_date_format,m/d/Y
6,gallarific_recent_date_format,m/d/Y
7,gallarific_photos_per_page,20
8,gallarific_comments_per_page,10
9,gallarific_users_per_page,20
10,gallarific_recent_photos,4
11,gallarific_popular_photos,8
12,gallarific_accept_user_registrations,1
13,gallarific_html_type,text/html
14,gallarific_charset,UTF-8
15,gallarific_comments_enabled,1
16,gallarific_auto_approve_comments,0
17,gallarific_userimage_width,32
18,gallarific_userimage_height,32
19,gallarific_medium_width,430
20,gallarific_medium_height,430
21,gallarific_thumbnail_width,150
22,gallarific_thumbnail_height,150
23,gallarific_e_mail,bla@bla.com
24,gallarific_installer_done,1

